Player,Cost,Pos,OFF,TEC,STA,DEF,POW,SPD,Total,Special Skills,Red Positions,Series
Neuer,29,GK,491,720,611,886,707,705,4120,The Sentinel + Quick Save ,GK,NDG4 Germany (2015 Season2)
Buffon,27,GK,412,803,552,870,732,608,3977,The Sentinel + Quick Save,GK,NDG4 Italy (2015 Season2)
Pirlo,26,MF,810,872,522,454,555,475,3688,Killer Pass + Frontline Feed,DMF+OMF,NDG4 Italy (2015 Season2)
Sneijder,25,MF,711,715,539,498,531,632,3626,Bullet Shot + Stealth Pass,LMF+OMF+RMF,NDG4 Netherlands (2015 Season2)
Ronaldo,30,FW,906,755,543,510,726,802,4242,Striker's Instinct + Technician,CF+LWG+LMF,NDG4 Portugal (2015 Season2)
Sergio Ramos,28,DF,423,679,636,918,691,685,4032,Chasing + Aerial Duel,CB+RSB,NDG4 Spain (2015 Season2)
A. Iniesta,28,MF,821,807,661,497,525,647,3958,Trick Shot + Technician,LMF+OMF,NDG4 Spain (2015 Season2)
Messi,43,FW,1170,1180,944,861,798,1231,6184,Striker's Instinct + Speed Dribble,CF+RWG,CLS5 (2015-16)
Ronaldo,43,FW,1185,1132,982,851,902,1207,6259,First Time Volley + Speedster,CF+LWG+LMF,CLS5 (2015-16)
Neuer,41,GK,731,1023,705,1211,1021,1018,5709,The Sentinel + Quick Save,GK ,CLS5 (2015-16)
Neymar Jr,41,FW,1163,1086,1031,775,725,1157,5937,Long Ranger + Speed Dribble,CF+LWG,CLS5 (2015-16)
Suárez,40,FW,1143,1000,980,722,798,1076,5719,Striker's Instinct + Speed Dribble,CF+RWG,CLS5 (2015-16)
Ibrahimović,40,FW,1126,931,807,752,1192,965,5773,Bullet Shot + Unstoppable Header,CF,CLS5 (2015-16)
Müller,40,FW,1132,1027,1032,759,900,942,5792,Striker's Instinct + First Time Volley,CF+OMF+RMF,CLS5 (2015-16)
T. Silva,39,DF,688,910,746,1140,1078,890,5452,Chasing + Frontline Feed,CB,CLS5 (2015-16)
Lahm,39,DF,851,972,972,972,798,900,5465,Early Cross + Chasing,CB+RSB+RMF+DMF,CLS5 (2015-16)
A. Iniesta,39,MF,1048,1080,924,779,837,860,5528,Stealth Pass + Technician,OMF+LMF+LWG,CLS5 (2015-16)
Bale,39,MF,1114,940,915,730,815,1094,5608,Early Cross + Speed Dribble,OMF+CF+LWG,CLS5 (2015-16)
Alonso,39,MF,954,1084,840,877,1034,634,5423,Chasing + Frontline Feed,DMF,CLS5 (2015-16)
Lewandowski,39,FW,1091,1069,827,754,957,958,5656,Striker's Instinct + Unstoppable Header,CF,CLS5 (2015-16)
Buffon,38,GK,658,917,735,1128,944,834,5216,The Sentinel + Quick Save,GK ,CLS5 (2015-16)
Godín,38,DF,687,924,860,1109,974,755,5309,Chasing + Aerial Duel,CB,CLS5 (2015-16)
Sergio Ramos,38,DF,710,925,843,1083,882,878,5321,Chasing + Aerial Duel,CB+RSB,CLS5 (2015-16)
Alaba,38,DF,849,923,799,950,970,915,5406,Bullet Shot + Chasing,CB+LSB+LMF,CLS5 (2015-16)
Pogba,38,MF,924,958,869,890,1032,831,5504,Block Buster + Power Tackle,DMF+OMF+LMF,CLS5 (2015-16)
Sergio,38,MF,766,984,916,1024,848,780,5318,Stealth Pass + Chasing,DMF,CLS5 (2015-16)
Di María,38,MF,1131,953,838,652,803,1003,5380,Early Cross + Speed Dribble,RMF+RWG+LWG,CLS5 (2015-16)
Götze,38,MF,1000,1015,821,773,833,941,5383,First Time Volley + Speed Dribble,LMF+OMF+RMF+CF,CLS5 (2015-16)
Benzema,38,FW,1043,1009,859,770,919,959,5559,Striker's Instinct + Decoy Run,CF+LWG,CLS5 (2015-16)
Piqué,37,DF,725,971,715,1034,1033,706,5184,Chasing + Frontline Feed,CB,CLS5 (2015-16)
Dani Alves,37,DF,890,900,846,843,812,917,5208,Chasing + Speedster,RSB+RMF,CLS5 (2015-16)
Marchisio,37,MF,882,996,971,870,702,902,5323,Block Buster + Stealth Pass,DMF+OMF,CLS5 (2015-16)
Koke,37,MF,933,989,821,834,821,922,5320,Stealth Pass + Early Cross,LMF+OMF+RMF,CLS5 (2015-16)
Isco,37,MF,957,979,861,794,791,920,5302,Stealth Pass + Technician,LMF+OMF+RMF,CLS5 (2015-16)
Vidal,37,MF,864,911,960,882,843,843,5303,Block Buster + Chasing,DMF+OMF+LMF,CLS5 (2015-16)
Chiellini,36,DF,619,807,744,1088,1058,723,5039,Chasing + Aerial Duel,CB,CLS5 (2015-16)
Marcelo,36,DF,918,847,868,771,813,848,5065,Early Cross + Speed Dribble,LSB,CLS5 (2015-16)
Boateng,36,DF,782,783,757,924,927,864,5037,Chasing + Aerial Duel,CB+RSB,CLS5 (2015-16)
Mascherano,36,MF,650,935,871,1053,806,742,5057,Chasing + Aerial Duel,DMF+CB,CLS5 (2015-16)
Kroos,36,MF,1055,829,875,636,775,833,5003,Long Ranger + Stealth Pass,DMF+OMF,CLS5 (2015-16)
Modrić,36,MF,1055,907,847,640,834,739,5022,Frontline Feed + Killer Pass,DMF+OMF,CLS5 (2015-16)
Costa,36,MF,1009,873,822,681,782,950,5117,Early Cross + Speed Dribble,OMF+LMF+LWG+RWG,CLS5 (2015-16)
Sneijder,36,MF,1002,960,791,688,781,900,5122,Long Ranger + Stealth Pass,LMF+OMF+RMF,CLS5 (2015-16)
Mandžukić,36,FW,1051,879,781,644,976,876,5207,Striker's Instinct + First Time Volley,CF,CLS5 (2015-16)
Cavani,36,FW,946,909,917,759,848,857,5236,Striker's Instinct + Chasing,CF+RWG,CLS5 (2015-16)
Jordi Alba,35,DF,877,806,870,798,806,870,5027,Chasing + Speed Dribble,LSB+LMF,CLS5 (2015-16)
David Luiz,35,DF,890,892,624,760,856,845,4867,Long Ranger + Aerial Duel,CB+DMF,CLS5 (2015-16)
De Rossi,35,MF,681,801,835,963,833,774,4887,Chasing + Aerial Duel,DMF+CB,CLS5 (2015-16)
Pjanić,35,MF,973,938,803,700,860,835,5109,Long Ranger + Stealth Pass,OMF,CLS5 (2015-16)
Verratti,35,MF,838,943,860,828,761,814,5044,Chasing + Frontline Feed,DMF+OMF,CLS5 (2015-16)
Griezmann,35,FW,968,878,779,676,722,1024,5047,Unstoppable Header + Speed Dribble,CF+LWG+LMF,CLS5 (2015-16)
Lacazette,35,FW,964,938,761,710,754,1034,5161,Striker's Instinct + Speed Dribble,LWG+CF+RWG+RMF,CLS5 (2015-16)
Coman,35,FW,1086,878,782,566,776,1028,5116,Long Ranger + Speed Dribble,CF+LWG,CLS5 (2015-16)
K. Navas,34,GK,602,817,626,1006,915,737,4703,The Sentinel + Quick Save,GK ,CLS5 (2015-16)
Bonucci,34,DF,642,788,685,977,972,712,4776,Tackle + Frontline Feed,CB,CLS5 (2015-16)
Evra,34,DF,735,807,807,896,793,847,4885,Chasing + Feint Dribble,LSB+LMF,CLS5 (2015-16)
Carvajal,34,DF,825,807,846,800,770,827,4875,Early Cross + Speed Dribble,RSB,CLS5 (2015-16)
Tiago,34,MF,866,889,828,755,767,706,4811,Stealth Pass + Aerial Duel,DMF,CLS5 (2015-16)
I. Rakitić,34,MF,967,951,828,661,867,667,4941,Long Ranger + Early Cross,DMF+OMF+RMF,CLS5 (2015-16)
Casemiro,34,MF,723,833,774,906,874,731,4841,Tackle + Aerial Duel,DMF,CLS5 (2015-16)
Thiago,34,MF,876,882,782,724,757,862,4883,Stealth Pass + Technician,DMF+OMF+LMF+RMF,CLS5 (2015-16)
Morata,34,FW,978,921,740,619,799,858,4915,Striker's Instinct + Feint Dribble,CF+LWG+LMF,CLS5 (2015-16)
Dybala,34,FW,966,900,744,627,718,947,4902,Striker's Instinct + Speed Dribble,CF,CLS5 (2015-16)
Gervinho,34,FW,959,828,879,670,649,1024,5009,Striker's Instinct + Speed Dribble,LWG+CF+RWG,CLS5 (2015-16)
Ter Stegen,33,GK,463,734,601,1095,895,807,4595,The Sentinel + Quick Save,GK ,CLS5 (2015-16)
Barzagli,33,DF,550,685,681,1017,925,754,4612,Chasing + Aerial Duel,CB,CLS5 (2015-16)
Juanfran,33,DF,793,763,822,791,763,822,4754,Early Cross + Speed Dribble,RSB+RMF,CLS5 (2015-16)
Mustafi,33,DF,599,655,672,968,925,807,4626,Tackle + Aerial Duel,CB,CLS5 (2015-16)
Maxwell,33,DF,776,815,815,794,744,766,4710,Early Cross + Chasing,LSB,CLS5 (2015-16)
Khedira,33,MF,783,834,816,799,816,648,4696,Stealth Pass + Chasing,DMF,CLS5 (2015-16)
Gabi,33,MF,886,834,729,685,764,753,4651,Stealth Pass + Frontline Feed,DMF+OMF,CLS5 (2015-16)
Matuidi,33,MF,717,831,759,863,803,814,4787,Chasing + Speed Dribble,DMF+OMF,CLS5 (2015-16)
Pastore,33,MF,969,861,760,621,791,811,4813,Stealth Pass + Speed Dribble,LMF+OMF,CLS5 (2015-16)
Lichtsteiner,32,DF,625,756,816,896,697,767,4557,Power Tackle,RSB+RMF,CLS5 (2015-16)
Mathieu,32,DF,571,660,661,944,843,768,4447,Destroyer,CB,CLS5 (2015-16)
Varane,32,DF,575,795,627,968,825,777,4567,Destroyer,CB,CLS5 (2015-16)
Abdennour,32,DF,588,644,797,946,944,635,4554,Destroyer,CB,CLS5 (2015-16)
Van Der Wiel,32,DF,745,777,787,779,703,786,4577,Power Tackle,RSB,CLS5 (2015-16)
Cuadrado,32,MF,814,761,751,726,734,882,4668,Speedster,RMF+RWG,CLS5 (2015-16)
Nainggolan,32,MF,755,781,811,758,747,748,4600,Block Buster,DMF+OMF+LMF,CLS5 (2015-16)
Krychowiak,32,MF,706,683,754,817,917,688,4565,Power Tackle,DMF,CLS5 (2015-16)
Gonalons,32,MF,603,734,862,919,744,654,4516,Destroyer,DMF,CLS5 (2015-16)
Valbuena,32,MF,921,810,793,586,645,835,4590,Speedster,OMF+RMF+RWG,CLS5 (2015-16)
Motta,32,MF,787,814,714,757,874,633,4579,Flamboyant Feed,DMF,CLS5 (2015-16)
M. Salah,32,FW,931,857,779,621,727,879,4794,Speedster,RWG+RMF,CLS5 (2015-16)
Dzeko,32,FW,896,832,779,636,842,727,4712,Striker's Instinct,CF,CLS5 (2015-16)
Konoplyanka,32,FW,892,883,768,619,596,941,4699,Technician,LWG+LMF,CLS5 (2015-16)
Immobile,32,FW,944,850,685,573,819,795,4666,Technician,CF,CLS5 (2015-16)
Lavezzi,32,FW,947,859,659,571,757,884,4677,Speedster,CF+LWG+LMF,CLS5 (2015-16)
De Jong,32,FW,904,858,801,612,839,689,4703,Unstoppable Header,CF,CLS5 (2015-16)
Oblak,31,GK,489,806,460,966,833,751,4305,Shield of Iron,GK ,CLS5 (2015-16)
Trapp,31,GK,567,821,434,915,849,766,4352,Shield of Iron,GK ,CLS5 (2015-16)
Alex Sandro,31,DF,632,771,716,854,716,771,4460,Power Tackle,LSB+LMF,CLS5 (2015-16)
J. M. Giménez,31,DF,557,625,788,929,815,695,4409,Power Tackle,CB+RSB,CLS5 (2015-16)
Aurier,31,DF,395,691,800,1070,677,770,4403,Aerial Duel,LSB+CB+RSB+RMF,CLS5 (2015-16)
Jackson,31,FW,876,788,778,602,832,690,4566,Striker's Instinct,CF,CLS5 (2015-16)
Negredo,31,FW,917,679,680,570,1059,692,4597,Unstoppable Header,CF,CLS5 (2015-16)
Muslera,30,GK,,,,,,,0,,GK ,CLS5 (2015-16)
Manolas,30,DF,581,726,531,870,826,770,4304,Power Tackle,CB,CLS5 (2015-16)
Trémoulinas,30,DF,766,727,768,664,688,687,4300,Power Tackle,LSB+LMF,CLS5 (2015-16)
Bernat,30,DF,688,687,741,739,687,741,4283,Elegant Cross,CB+LSB+LMF,CLS5 (2015-16)
Vitolo,30,MF,864,773,676,579,710,752,4354,Technician,OMF+LMF+LWG,CLS5 (2015-16)
Parejo,30,MF,750,847,738,699,704,664,4402,Block Buster,DMF+OMF,CLS5 (2015-16)
Torres,30,FW,953,798,698,499,766,780,4494,First Time Volley,CF,CLS5 (2015-16)
Paco Alcácer,30,FW,,,,,,,0,Striker's Instinct,CF,CLS5 (2015-16)
Lestienne,30,FW,812,703,842,629,658,832,4476,Elegant Cross,LWG+LMF,CLS5 (2015-16)
Podolski,30,FW,924,847,589,516,783,781,4440,First Time Volley,CF+LWG+LMF,CLS5 (2015-16)
Gayá,29,DF,635,687,687,729,618,738,4094,Elegant Cross,LSB,CLS5 (2015-16)
Jallet,29,DF,,,,,,,0,,RSB+RMF,CLS5 (2015-16)
Bruma,29,DF,515,624,675,860,778,585,4037,Destroyer,CB,CLS5 (2015-16)
Sergi,29,MF,823,748,762,573,655,648,4209,Long Ranger,DMF+OMF+RMF+RSB,CLS5 (2015-16)
Éver Banega,29,MF,,,,,,,0,,DMF+OMF,CLS5 (2015-16)
Messi,39,FW,1100,1145,715,722,647,1142,5471,Striker's Instinct + Speed Dribble,CF+RWG,CLS4 (2014-15 Season2)
Ronaldo,39,FW,1195,967,684,663,961,1145,5615,First Time Volley + Speedster,CF+LWG+LMF,CLS4 (2014-15 Season2)
Neuer,38,GK,623,993,761,1184,995,857,5413,The Sentinel + Quick Save,GK ,CLS4 (2014-15 Season2)
Robben,38,MF,1167,1054,524,637,850,1124,5356,Bullet Shot + Speed Dribble,RWG+RMF,CLS4 (2014-15 Season2)
Neymar Jr,38,FW,1119,1150,721,680,600,1120,5390,Speedster + Long Ranger,CF+LWG,CLS4 (2014-15 Season2)
Ibrahimović,37,FW,1083,836,663,657,1162,814,5215,Unstoppable Header + Bullet Shot,CF  ,CLS4 (2014-15 Season2)
Tevez,36,FW,1047,894,836,663,836,851,5127,Striker's Instinct + Speed Dribble,CF,CLS4 (2014-15 Season2)
James,36,MF,1042,1061,641,650,674,999,5067,Stealth Pass + Speed Dribble,OMF+RWG+RMF,CLS4 (2014-15 Season2)
A. Iniesta ,36,MF,997,1124,799,687,622,795,5024,Stealth Pass + Technician,OMF+LMF,CLS4 (2014-15 Season2)
Bale,36,MF,1094,802,784,603,714,1129,5126,Striker's Instinct + Speed Dribble,RMF+RWG+CF,CLS4 (2014-15 Season2)
Müller,36,FW,986,871,870,702,796,836,5061,Striker's Instinct + First Time Volley,CF+OMF+RMF,CLS4 (2014-15 Season2)
Suárez,36,FW,1070,902,768,611,784,903,5038,Striker's Instinct + Speed Dribble,CF+RWG,CLS4 (2014-15 Season2)
T. Silva,36,DF,598,814,811,1102,925,861,5111,Chasing + Frontline Feed,CB,CLS4 (2014-15 Season2)
Lahm,36,DF,784,957,826,902,652,893,5014,Early Cross + Chasing,RSB+DMF+RMF,CLS4 (2014-15 Season2)
Benzema,35,FW,967,847,803,726,903,831,5077,Striker's Instinct + Feint Dribble,CF+LWG,CLS4 (2014-15 Season2)
Götze,35,MF,1014,951,659,640,799,967,5030,Trick Shot + Stealth Pass,OMF+LWG,CLS4 (2014-15 Season2)
Lewandowski,35,FW,1056,884,786,589,801,814,4930,Striker's Instinct + Unstoppable Header,CF,CLS4 (2014-15 Season2)
Kroos,35,MF,984,996,784,685,795,761,5005,Long Ranger + Stealth Pass,OMF+DMF,CLS4 (2014-15 Season2)
Godín,35,DF,602,803,754,1056,1051,699,4965,Chasing + Aerial Duel,CB,CLS4 (2014-15 Season2)
Alonso,35,MF,847,1024,704,799,824,669,4867,Chasing + Frontline Feed,DMF,CLS4 (2014-15 Season2)
Pogba,35,MF,850,811,824,800,936,760,4981,Block Buster + Power Tackle,OMF+DMF+LMF,CLS4 (2014-15 Season2)
Sergio Ramos,35,DF,624,847,771,1031,862,841,4976,Chasing + Aerial Duel,CB+RSB,CLS4 (2014-15 Season2)
Isco,34,MF,974,997,747,617,603,826,4764,Long Ranger + Technician,OMF+LMF,CLS4 (2014-15 Season2)
Cavani,34,FW,962,801,806,682,803,800,4854,Striker's Instinct + Chasing,CF+LWG,CLS4 (2014-15 Season2)
Mandžukić,34,FW,1037,803,703,567,996,706,4812,Striker's Instinct + First Time Volley,CF,CLS4 (2014-15 Season2)
Vidal,34,MF,758,784,849,887,874,804,4956,Block Buster + Chasing,DMF+OMF+RMF,CLS4 (2014-15 Season2)
Piqué,34,DF,637,824,789,995,974,657,4876,Chasing + Frontline Feed,CB,CLS4 (2014-15 Season2)
Dani Alves,34,DF,847,748,721,761,782,974,4833,Chasing + Speed Dribble,RSB,CLS4 (2014-15 Season2)
Buffon,34,GK,537,961,590,1088,967,735,4878,The Sentinel + Quick Save,GK,CLS4 (2014-15 Season2)
Marchisio,34,MF,843,848,769,748,748,850,4806,Block Buster + Stealth Pass,OMF+DMF+RMF,CLS4 (2014-15 Season2)
Mascherano,34,MF,591,884,804,1021,740,787,4827,Chasing + Aerial Duel,CB+DMF,CLS4 (2014-15 Season2)
Koke,34,MF,871,999,851,749,674,758,4902,Stealth Pass + Early Cross,OMF+DMF+LMF,CLS4 (2014-15 Season2)
Boateng,33,DF,681,672,674,892,902,951,4772,Chasing + Aerial Duel,CB+RSB,CLS4 (2014-15 Season2)
Pirlo,33,MF,957,1124,602,597,637,637,4554,Frontline Feed + Killer Pass,OMF+DMF,CLS4 (2014-15 Season2)
Sergio,33,MF,657,896,894,927,799,608,4781,Chasing  + Stealth Pass,DMF,CLS4 (2014-15 Season2)
Schweinsteiger,33,MF,847,794,799,719,845,689,4693,Bullet Shot + Chasing,OMF+DMF,CLS4 (2014-15 Season2)
Marcelo,33,DF,847,847,788,705,705,822,4714,Early Cross + Speed Dribble,LSB,CLS4 (2014-15 Season2)
Chiellini,33,DF,511,715,748,1045,1114,525,4658,Chasing + Block,CB,CLS4 (2014-15 Season2)
Miranda,33,DF,542,698,674,1027,981,751,4673,Chasing + Block,CB,CLS4 (2014-15 Season2)
Griezmann,32,FW,971,795,683,561,705,902,4617,Unstoppable Header + Speed Dribble,CF+LWG+OMF,CLS4 (2014-15 Season2)
Morata,32,FW,971,769,694,539,762,847,4582,Striker's Instinct + Feint Dribble,CF+LWG,CLS4 (2014-15 Season2)
I. Rakitić,32,MF,935,925,701,602,637,765,4565,Long Ranger + Early Cross,OMF+RMF,CLS4 (2014-15 Season2)
Jordi Alba,32,DF,814,799,825,735,524,1006,4703,Chasing + Speed Dribble,LSB+LMF,CLS4 (2014-15 Season2)
Evra,32,DF,714,798,763,802,774,750,4601,Chasing + Feint Dribble,LSB+LMF,CLS4 (2014-15 Season2)
Bonucci,31,DF,527,722,634,941,925,657,4406,Chasing + Aerial Duel,CB,CLS4 (2014-15 Season2)
Lucas,30,MF,906,804,640,547,547,967,4411,Early Cross + Speed Dribble,OMF+RWG+RMF,CLS4 (2014-15 Season2)
Ter Stegen,30,GK,374,743,587,1062,816,721,4303,The Sentinel + Quick Save,GK,CLS4 (2014-15 Season2)
I. Casillas,30,GK,416,861,571,998,734,661,4241,The Sentinel + Quick Save,GK,CLS4 (2014-15 Season2)
Lichsteiner,29,DF,680,685,755,726,652,732,4230,Destroyer,RSB+RMF,CLS4 (2014-15 Season2)
Juanfran,29,DF,703,680,720,697,666,746,4212,Elegant Cross,RSB+RMF,CLS4 (2014-15 Season2)
Varane,29,DF,503,626,528,891,942,698,4188,Destroyer,CB,CLS4 (2014-15 Season2)
Pepe,29,DF,477,614,531,913,999,634,4168,Power Tackle,CB,CLS4 (2014-15 Season2)
David Luiz,29,DF,681,681,537,725,920,684,4228,Flamboyant Feed,CB+DMF,CLS4 (2014-15 Season2)
Arda,29,MF,847,831,645,547,622,702,4194,Stealth Pass + Feint Dribble,RMF+OMF,CLS4 (2014-15 Season2)
J. Moutinho,29,MF,851,802,730,549,604,674,4210,Stealth Pass,RMF+OMF+RWG,CLS4 (2014-15 Season2)
Verratti,29,MF,654,723,687,748,696,710,4218,Flamboyant Feed,DMF+OMF,CLS4 (2014-15 Season2)
Matuidi,29,MF,646,666,720,761,718,712,4223,Destroyer,DMF+OMF,CLS4 (2014-15 Season2)
Motta,29,MF,704,795,629,701,817,581,4227,Killer Pass,DMF,CLS4 (2014-15 Season2)
Barzagli,28,DF,435,580,530,898,874,670,3987,Destroyer,CB,CLS4 (2014-15 Season2)
J. M. Giménez,28,DF,472,566,535,875,883,709,4040,Power Tackle,CB+RSB,CLS4 (2014-15 Season2)
F. Coentrão,28,DF,678,667,657,678,660,720,4060,Elegant Cross,LSB,CLS4 (2014-15 Season2)
Van der Wiel,28,DF,681,671,651,675,656,736,4070,Elegant Cross,RSB,CLS4 (2014-15 Season2)
Gabi,28,MF,713,682,648,644,730,666,4083,Killer Pass,OMF+DMF,CLS4 (2014-15 Season2)
Raúl García,28,MF,839,760,661,523,647,667,4097,Stealth Pass,OMF+RMF+CF,CLS4 (2014-15 Season2)
Pastore,28,MF,846,796,637,508,623,663,4073,Feint Dribble,LMF+OMF,CLS4 (2014-15 Season2)
Toulalan,28,MF,601,649,695,750,767,583,4045,Killer Pass,DMF+CB,CLS4 (2014-15 Season2)
Thiago,28,MF,862,807,618,494,594,704,4079,Stealth Pass,OMF+DMF+RMF,CLS4 (2014-15 Season2)
Sirigu,27,GK,342,761,525,959,777,708,4072,Shield of Iron,GK,CLS4 (2014-15 Season2)
Bartra,27,DF,452,578,550,852,785,703,3920,Flamboyant Feed,CB+RSB,CLS4 (2014-15 Season2)
Mathieu,27,DF,476,508,481,804,910,668,3847,Tackle,CB,CLS4 (2014-15 Season2)
Abdennour,27,DF,468,506,518,831,902,680,3905,Power Tackle,CB,CLS4 (2014-15 Season2)
Kurzawa,27,DF,605,629,659,704,631,711,3939,Destroyer,LSB,CLS4 (2014-15 Season2)
Badstuber,27,DF,448,601,474,840,845,653,3861,Aerial Duel,CB+LSB,CLS4 (2014-15 Season2)
Rafinha,27,DF,759,639,649,551,612,732,3942,Elegant Cross,RSB+RMF,CLS4 (2014-15 Season2)
Bernat,27,DF,622,622,632,672,633,713,3894,Elegant Cross,LSB+LMF,CLS4 (2014-15 Season2)
M. Suárez,27,MF,603,620,627,708,785,602,3945,Power Tackle,DMF,CLS4 (2014-15 Season2)
Khedira,27,MF,603,694,553,676,737,566,3829,Destroyer,DMF,CLS4 (2014-15 Season2)
Torres,27,FW,905,755,563,407,598,703,3931,Striker's Instinct,CF,CLS4 (2014-15 Season2)
Pedro,27,FW,879,789,526,404,452,800,3850,Speedster,LWG+RGW,CLS4 (2014-15 Season2)
Lavezzi,27,FW,882,714,602,428,577,732,3935,Speedster,CF+LWG+LMF,CLS4 (2014-15 Season2)
Berbatov,27,FW,894,788,485,423,780,575,3945,First Time Volley,CF+OMF,CLS4 (2014-15 Season2)
Messi,38,FW,1084,1102,685,692,635,1084,5282,Trick Shot + Speedster,CF+RWG,CLS3 (2014-15 Season1)
Ronaldo,38,FW,1135,978,667,674,902,1068,5424,Striker's Instinct + Speedster,CF+LWG+LMF,CLS3 (2014-15 Season1)
Neuer,36,GK,599,985,638,1111,982,836,5151,The Sentinel + Quick Save,GK ,CLS3 (2014-15 Season1)
Ibrahimović,36,FW,1074,839,675,628,1100,777,5093,Bullet Shot + Striker's Instinct,CF  ,CLS3 (2014-15 Season1)
Robben,36,MF,1098,995,436,602,849,1104,5084,Bullet Shot + Speedster,RMF+LMF+RWG ,CLS3 (2014-15 Season1)
A. Iniesta ,35,MF,991,1001,770,674,682,863,4981,Trick Shot + Technician,OMF+LMF+LWG ,CLS3 (2014-15 Season1)
Müller,35,FW,971,857,869,694,771,819,4981,Stealth Pass + Speedster,CF+OMF+RMF ,CLS3 (2014-15 Season1)
Lahm,35,DF,774,853,874,876,763,819,4959,Early Cross + Chasing,RSB+LSB+DMF ,CLS3 (2014-15 Season1)
Bale,35,MF,1070,777,700,580,700,1120,4947,Striker's Instinct + Speedster,OMF+LMF+LWG+RMF+RWG ,CLS3 (2014-15 Season1)
Neymar Jr,35,FW,1035,967,663,602,567,1085,4919,Trick Shot + Speedster,CF+LWG ,CLS3 (2014-15 Season1)
Benzema,34,FW,936,793,762,684,885,784,4844,Striker's Instinct + Stealth Pass,CF+LWG ,CLS3 (2014-15 Season1)
Götze,34,MF,1036,947,662,574,692,894,4805,Trick Shot + Stealth Pass,OMF+RMF+LMF+CF ,CLS3 (2014-15 Season1)
Lewandowski,34,FW,1022,847,596,591,888,861,4805,Striker's Instinct + Unstoppable Header,CF ,CLS3 (2014-15 Season1)
Kroos,34,MF,974,992,627,624,861,721,4799,Long Ranger + Stealth Pass,OMF+DMF ,CLS3 (2014-15 Season1)
Godín,34,DF,584,692,685,1015,1086,726,4788,Chasing + Aerial Duel,CB ,CLS3 (2014-15 Season1)
Alonso,34,MF,867,972,710,728,826,667,4770,Chasing + Frontline Feed,DMF,CLS3 (2014-15 Season1)
Boateng,33,DF,675,657,663,887,900,938,4720,Chasing + Frontline Feed,CB+RSB ,CLS3 (2014-15 Season1)
Sergio Ramos,33,DF,600,821,785,967,726,806,4705,Chasing + Aerial Duel,CB+RSB ,CLS3 (2014-15 Season1)
Cavani,33,FW,953,793,795,595,784,782,4702,Striker's Instinct + Chasing,CF+RWG ,CLS3 (2014-15 Season1)
Sneijder,33,MF,999,1021,418,561,721,951,4671,Long Ranger + Stealth Pass,OMF+LMF+RMF,CLS3 (2014-15 Season1)
James,33,MF,954,900,611,605,647,947,4664,Striker's Instinct + Speed Dribble,OMF+RMF+LMF ,CLS3 (2014-15 Season1)
Mandžukić,33,FW,1015,798,662,531,958,694,4658,Striker's Instinct + First Time Volley,CF ,CLS3 (2014-15 Season1)
Xavi,33,MF,934,1057,668,617,652,711,4639,Long Ranger + Stealth Pass,OMF+DMF ,CLS3 (2014-15 Season1)
Vidal,33,MF,769,791,827,781,736,734,4638,Block Buster + Chasing,OMF+DMF+RMF ,CLS3 (2014-15 Season1)
Tevez,33,FW,974,689,765,581,822,806,4637,Striker's Instinct + First Time Volley,CF ,CLS3 (2014-15 Season1)
Piqué,33,DF,569,935,614,978,921,616,4633,Chasing + Frontline Feed,CB,CLS3 (2014-15 Season1)
Buffon,32,GK,457,961,560,1048,933,690,4649,The Sentinel + Quick Save,GK ,CLS3 (2014-15 Season1)
Pogba,32,MF,844,705,864,671,824,642,4550,Block Buster + Destroyer,OMF+DMF ,CLS3 (2014-15 Season1)
Miranda,32,DF,517,654,644,992,966,758,4531,Chasing + Aerial Duel,CB ,CLS3 (2014-15 Season1)
Modrić,32,MF,900,914,728,602,549,824,4517,Stealth Pass + Frontline Feed,OMF+DMF,CLS3 (2014-15 Season1)
Pirlo,32,MF,903,983,658,597,691,659,4491,Stealth Pass + Frontline Feed,OMF+DMF ,CLS3 (2014-15 Season1)
Isco,31,MF,905,937,684,574,674,706,4480,Stealth Pass + Technician,OMF+LMF ,CLS3 (2014-15 Season1)
Koke,31,MF,868,967,647,620,667,699,4468,Early Cross + Frontline Feed,LMF+OMF+DMF,CLS3 (2014-15 Season1)
Mascherano,31,MF,531,819,637,941,648,884,4460,Chasing + Aerial Duel,DMF + CB,CLS3 (2014-15 Season1)
De Rossi,31,MF,597,762,702,888,824,674,4447,Chasing + Aerial Duel,DMF,CLS3 (2014-15 Season1)
Gervinho,31,FW,952,602,805,502,584,999,4444,Striker's Instinct + Speed Dribble,LWG + RWG,CLS3 (2014-15 Season1)
Pepe,31,DF,537,528,695,943,996,738,4437,Chasing + Aerial Duel,CB,CLS3 (2014-15 Season1)
Marcelo,31,DF,802,702,725,674,700,816,4419,Early Cross + Speedster,LSB,CLS3 (2014-15 Season1)
Dani Alves,31,DF,736,633,621,723,751,910,4374,Chasing + Speedster,RSB,CLS3 (2014-15 Season1)
Sirigu,30,GK,421,957,567,1006,926,685,4562,Shield of Iron,GK ,CLS3 (2014-15 Season1)
David Luiz,30,DF,672,887,571,778,835,599,4342,Stealth Pass + Frontline Feed,CB+DMF,CLS3 (2014-15 Season1)
Jordi Alba,30,DF,784,667,670,652,562,995,4330,Chasing + Speed Dribble,LSB+LMF,CLS3 (2014-15 Season1)
